blog_id,userId,ratings
9025,11,3.5
9320,11,5.0
9246,11,3.5
9431,11,5.0
875,11,2.0
3151,12,0.5
3402,12,5.0
3459,12,3.5
1326,12,2.0
1404,12,5.0
1328,12,3.5
8715,12,2.0
218,12,2.0
8824,12,3.5
8837,12,0.5
8893,12,2.0
8932,12,3.5
8723,12,5.0
8832,12,2.0
8953,12,0.5
8992,12,2.0
8896,12,3.5
8861,12,5.0
217,12,5.0
8746,12,3.5
8819,12,5.0
8974,12,5.0
8864,12,5.0
8991,12,5.0
8803,12,5.0
8957,12,5.0
8897,12,2.0
8801,12,3.5
8876,12,0.5
8754,12,2.0
8811,12,2.0
8827,12,5.0
8858,12,5.0
8774,12,0.5
8821,12,3.5
8947,12,2.0
9010,12,5.0
8997,12,5.0
8800,12,2.0
8766,12,5.0
8995,12,5.0
8713,12,0.5
8816,12,5.0
8825,12,5.0
9006,12,5.0
8789,12,0.5
8776,12,0.5
8939,12,2.0
8949,12,2.0
8886,12,2.0
8806,12,3.5
8872,12,5.0
8943,12,2.0
8883,12,2.0
8946,12,5.0
8875,12,5.0
8807,12,2.0
8757,12,5.0
8747,12,5.0
8972,12,2.0
8966,12,0.5
8749,12,5.0
8756,12,0.5
8791,12,5.0
8784,12,2.0
8760,12,5.0
8761,12,5.0
8836,12,2.0
8799,12,5.0
8786,12,3.5
9011,12,5.0
187,13,3.5
6295,13,3.5
1690,13,0.5
6188,13,5.0
6174,13,5.0
6202,13,5.0
6226,13,5.0
6186,13,2.0
6318,13,5.0
6165,13,5.0
1705,13,2.0
6235,13,5.0
6225,13,5.0
6152,13,5.0
6203,13,5.0
6185,13,5.0
6151,13,5.0
6239,13,2.0
6246,13,2.0
6243,13,5.0
6305,13,5.0
191,13,5.0
6331,13,5.0
6293,13,0.5
6265,13,5.0
6247,13,5.0
6307,13,0.5
1703,13,3.5
6205,13,3.5
6268,13,2.0
6179,13,0.5
6328,13,5.0
6319,13,2.0
6325,13,2.0
6317,13,0.5
6262,13,3.5
6134,13,5.0
2745,13,2.0
2672,13,5.0
2771,13,2.0
2790,13,0.5
2778,13,0.5
2682,13,2.0
8581,14,5.0
8386,14,0.5
8598,14,2.0
8638,14,0.5
8514,14,5.0
8644,14,0.5
8491,14,5.0
8550,14,2.0
8547,14,2.0
8519,14,3.5
8373,14,0.5
8656,14,0.5
8458,14,5.0
8383,14,0.5
8426,14,5.0
8649,14,3.5
8394,14,5.0
8674,14,0.5
8543,14,3.5
8632,14,5.0
8433,14,5.0
8464,14,3.5
8506,14,3.5
8409,14,5.0
8494,14,5.0
8530,14,5.0
8544,14,2.0
8612,14,5.0
8504,14,2.0
8529,14,5.0
8563,14,3.5
8525,14,5.0
8498,14,0.5
8625,14,5.0
8587,14,5.0
8535,14,0.5
8436,14,2.0
8631,14,5.0
8575,14,2.0
8685,14,0.5
8585,14,5.0
8595,14,3.5
8403,14,3.5
8374,14,3.5
8590,14,5.0
8503,14,2.0
8445,14,5.0
8565,14,3.5
8398,14,3.5
8462,14,5.0
8487,14,2.0
8415,14,5.0
8427,14,0.5
8654,14,2.0
8521,14,5.0
8381,14,2.0
8390,14,2.0
8392,14,3.5
8642,14,0.5
8665,14,5.0
8648,14,2.0
8602,14,2.0
8663,14,0.5
8432,14,0.5
8619,14,0.5
8495,14,5.0
8609,14,5.0
8393,14,3.5
8452,14,5.0
8591,14,2.0
8553,14,3.5
8618,14,0.5
8470,14,3.5
8677,14,2.0
8442,14,5.0
8450,14,2.0
8434,14,5.0
8404,14,5.0
8510,14,2.0
8457,14,5.0
8657,14,5.0
8662,14,5.0
8683,14,2.0
8471,14,2.0
8416,14,5.0
8405,14,3.5
8676,14,5.0
8384,14,2.0
8668,14,3.5
8400,14,0.5
8382,14,5.0
8561,14,3.5
8594,14,5.0
8397,14,3.5
8420,14,0.5
8413,14,5.0
8580,14,5.0
8628,14,3.5
8673,14,5.0
8633,14,0.5
8664,14,5.0
8429,14,2.0
9423,14,5.0
9421,14,5.0
9282,14,2.0
9320,14,3.5
9235,14,2.0
9409,14,5.0
9439,14,0.5
1525,15,0.5
5474,15,3.5
1502,15,5.0
1556,15,5.0
5476,15,5.0
1547,15,5.0
1505,15,0.5
5572,15,3.5
1501,15,5.0
5685,15,0.5
5543,15,5.0
1479,15,5.0
5631,15,5.0
5565,15,3.5
1469,15,3.5
1534,15,2.0
5536,15,5.0
1576,15,5.0
1574,15,0.5
5564,15,0.5
5654,15,2.0
5661,15,0.5
5576,15,0.5
1603,15,3.5
1493,15,3.5
1548,15,5.0
1652,15,5.0
1629,15,0.5
6998,15,5.0
6980,15,3.5
1839,15,2.0
7027,15,0.5
2013,15,5.0
1846,15,3.5
1853,15,2.0
7035,15,2.0
6788,15,0.5
6764,15,5.0
1830,15,2.0
1942,15,0.5
1849,15,5.0
6920,15,5.0
6992,15,0.5
6696,15,2.0
1857,15,5.0
6958,15,5.0
1834,15,0.5
6683,15,5.0
6681,15,0.5
7047,15,0.5
1856,15,0.5
1923,15,2.0
6810,15,5.0
1841,15,0.5
1918,15,3.5
1909,15,2.0
6787,15,5.0
1993,15,0.5
6726,15,3.5
6921,15,5.0
6778,15,2.0
6855,15,5.0
2008,15,2.0
4081,16,2.0
669,16,2.0
615,16,5.0
4061,16,5.0
619,16,5.0
3970,16,5.0
3975,16,3.5
4089,16,2.0
582,16,5.0
3950,16,5.0
597,16,5.0
523,16,2.0
603,16,5.0
694,16,5.0
760,16,5.0
4414,16,2.0
818,16,5.0
727,16,0.5
4172,16,2.0
4180,16,5.0
4111,16,5.0
4280,16,5.0
4157,16,2.0
914,16,5.0
4292,16,2.0
4375,16,2.0
4402,16,5.0
4391,16,3.5
4199,16,2.0
773,16,3.5
4315,16,0.5
726,16,2.0
798,16,2.0
4246,16,5.0
4370,16,5.0
4264,16,3.5
4347,16,5.0
4436,16,5.0
4510,16,3.5
836,16,0.5
5695,17,5.0
8317,17,2.0
8300,17,5.0
8328,17,3.5
5314,18,5.0
5186,18,2.0
9418,18,5.0
9446,18,0.5
9174,18,3.5
9209,18,0.5
9189,18,5.0
9105,18,0.5
9102,18,3.5
8984,19,5.0
8702,19,5.0
8772,19,2.0
9008,19,5.0
8736,19,5.0
8840,19,2.0
8939,19,2.0
8326,19,5.0
8205,19,5.0
8150,19,5.0
2122,20,2.0
2155,20,5.0
2177,20,3.5
7120,20,5.0
7084,20,3.5
2024,20,2.0
2229,20,3.5
2156,20,5.0
2128,20,2.0
2108,20,2.0
7113,20,5.0
2100,20,5.0
7130,20,2.0
2042,20,2.0
7074,20,0.5
2051,20,0.5
2031,20,5.0
7099,20,0.5
2092,20,3.5
7127,20,5.0
2079,20,5.0
2038,20,5.0
2109,20,5.0
7082,20,5.0
2199,20,0.5
7086,20,0.5
2074,20,5.0
9654,20,2.0
9745,20,2.0
9452,20,5.0
9577,20,2.0
9599,20,5.0
9676,20,0.5
9719,20,3.5
9660,20,0.5
9568,20,5.0
9471,20,2.0
9674,20,0.5
9718,20,5.0
9590,20,5.0
9681,20,5.0
9717,20,0.5
9651,20,5.0
9458,20,2.0
9573,20,0.5
9645,20,5.0
9616,20,5.0
9501,20,5.0
9755,20,5.0
9629,20,3.5
9596,20,2.0
6761,21,3.5
6842,21,0.5
1981,21,5.0
6801,21,5.0
1830,21,5.0
6814,21,5.0
6772,21,2.0
6733,21,2.0
6962,21,0.5
1883,21,5.0
6820,21,2.0
6788,21,5.0
1979,21,5.0
1996,21,5.0
1827,21,5.0
6816,21,5.0
6740,21,5.0
1907,21,5.0
5881,21,5.0
5737,21,2.0
6122,21,5.0
5924,21,5.0
5921,21,2.0
5732,21,0.5
5823,21,2.0
5883,21,5.0
5925,21,2.0
6074,21,5.0
5839,21,0.5
5822,21,5.0
4779,22,2.0
929,22,0.5
4737,22,0.5
4594,22,0.5
4521,22,5.0
4656,22,5.0
48,22,0.5
4717,22,2.0
4695,22,3.5
4597,22,3.5
4732,22,5.0
4748,22,5.0
4530,22,5.0
4567,22,3.5
4687,22,0.5
4661,22,2.0
4722,22,5.0
924,22,2.0
251,22,5.0
247,22,2.0
938,22,3.5
4579,22,5.0
948,22,3.5
919,22,5.0
4577,22,5.0
4664,22,3.5
4593,22,3.5
4581,22,3.5
4725,22,0.5
943,22,0.5
942,22,5.0
4540,22,0.5
4630,22,5.0
925,22,2.0
940,22,2.0
4709,22,5.0
4756,22,2.0
226,22,0.5
4684,22,0.5
4624,22,3.5
4697,22,0.5
4576,22,3.5
4680,22,3.5
4575,22,2.0
4760,22,2.0
4696,22,0.5
4742,22,3.5
4776,22,5.0
228,22,2.0
4618,22,5.0
4676,22,2.0
4609,22,0.5
4632,22,2.0
4677,22,5.0
4679,22,5.0
4563,22,2.0
4691,22,5.0
4622,22,5.0
4710,22,5.0
4650,22,3.5
4773,22,2.0
4595,22,0.5
4654,22,5.0
939,22,5.0
4693,22,2.0
4615,22,5.0
4549,22,5.0
250,22,2.0
4692,22,5.0
4754,22,2.0
4600,22,3.5
4548,22,2.0
926,22,5.0
4771,22,3.5
4657,22,0.5
4573,22,5.0
947,22,5.0
955,22,3.5
4646,22,0.5
4628,22,5.0
4536,22,5.0
4613,22,0.5
4780,22,5.0
4522,22,5.0
43,22,0.5
4625,22,5.0
922,22,0.5
4731,22,0.5
4699,22,0.5
4598,22,2.0
4543,22,5.0
4591,22,5.0
4633,22,5.0
4614,22,2.0
4532,22,2.0
4644,22,5.0
4746,22,2.0
4587,22,5.0
4690,22,5.0
4620,22,3.5
4552,22,2.0
248,22,2.0
4703,22,0.5
4700,22,3.5
4590,22,0.5
4706,22,2.0
246,22,5.0
4585,22,2.0
40,22,3.5
951,22,0.5
4753,22,0.5
225,22,3.5
4713,22,0.5
4764,22,5.0
4761,22,0.5
4652,22,2.0
4694,22,3.5
8543,22,5.0
8551,22,3.5
8453,22,3.5
8437,22,5.0
8562,22,3.5
8447,22,5.0
8530,22,5.0
8432,22,5.0
8506,22,2.0
8444,22,2.0
8606,22,0.5
8557,22,5.0
8427,22,0.5
8554,22,3.5
8438,22,2.0
8559,22,5.0
8395,22,3.5
8474,22,2.0
8482,22,5.0
8651,22,0.5
8547,22,5.0
8472,22,5.0
8373,22,5.0
8378,22,5.0
7963,23,0.5
8340,23,5.0
8309,23,5.0
8176,23,3.5
7988,23,5.0
8219,23,5.0
8124,23,2.0
8358,23,5.0
8019,23,5.0
8709,23,0.5
8872,23,5.0
8785,23,5.0
2080,24,2.0
2152,24,3.5
2137,24,5.0
2215,24,0.5
7105,24,5.0
2136,24,3.5
2214,24,3.5
2259,24,5.0
2139,24,5.0
2203,24,3.5
7067,24,5.0
2073,24,5.0
2048,24,5.0
7086,24,5.0
2053,24,5.0
2194,24,2.0
2229,24,5.0
2033,24,2.0
2081,24,5.0
7076,24,5.0
2150,24,0.5
2126,24,5.0
2189,24,5.0
39,24,3.5
36,24,3.5
2181,24,5.0
2104,24,0.5
7099,24,2.0
2103,24,0.5
2061,24,5.0
2222,24,2.0
2057,24,5.0
2201,24,2.0
7096,24,5.0
2108,24,5.0
2225,24,2.0
2185,24,2.0
2260,24,2.0
2211,24,3.5
2251,24,0.5
2040,24,0.5
2159,24,2.0
7109,24,5.0
7053,24,5.0
2127,24,0.5
2120,24,5.0
2059,24,5.0
2247,24,5.0
2162,24,3.5
2161,24,2.0
2180,24,3.5
7052,24,0.5
2147,24,5.0
2176,24,5.0
2121,24,0.5
7080,24,3.5
7112,24,2.0
2148,24,2.0
2245,24,2.0
2223,24,5.0
2165,24,5.0
2232,24,5.0
2228,24,0.5
2090,24,2.0
2123,24,0.5
2026,24,5.0
7065,24,0.5
2170,24,0.5
2204,24,5.0
2131,24,5.0
2068,24,2.0
2038,24,2.0
2209,24,0.5
2138,24,2.0
7057,24,3.5
2233,24,0.5
2035,24,2.0
2234,24,5.0
7084,24,2.0
2062,24,5.0
7120,24,5.0
2140,24,2.0
2105,24,2.0
7082,24,2.0
2146,24,2.0
2239,24,5.0
2122,24,3.5
7101,24,5.0
2128,24,5.0
2244,24,2.0
9487,24,3.5
9683,24,0.5
9471,24,2.0
9498,24,5.0
9605,24,2.0
9670,24,0.5
9614,24,5.0
9546,24,0.5
9549,24,2.0
9609,24,0.5
9547,24,5.0
9483,24,5.0
9655,24,5.0
9455,24,2.0
9599,24,5.0
9656,24,0.5
9730,24,5.0
9739,24,0.5
9515,24,5.0
9630,24,5.0
9722,24,3.5
9544,24,0.5
9601,24,2.0
9520,24,2.0
9500,24,2.0
9579,24,2.0
9550,24,5.0
9513,24,2.0
9479,24,3.5
9747,24,5.0
9503,24,2.0
9750,24,0.5
9684,24,2.0
9448,24,5.0
9517,24,0.5
9648,24,5.0
9734,24,0.5
9508,24,2.0
9616,24,2.0
9646,24,5.0
9662,24,3.5
9651,24,2.0
9553,24,0.5
9465,24,0.5
1664,25,5.0
5760,25,5.0
5806,25,0.5
6053,25,2.0
8220,25,3.5
8262,25,0.5
8152,25,5.0
8130,25,2.0
8110,25,5.0
7990,25,5.0
1664,26,0.5
4311,27,2.0
908,27,5.0
4161,27,2.0
4268,27,2.0
4688,27,2.0
4628,27,3.5
4631,27,2.0
4723,27,2.0
4758,27,5.0
4561,27,5.0
4722,27,2.0
4615,27,0.5
4680,27,2.0
250,27,0.5
949,27,2.0
4551,27,5.0
4644,27,0.5
4767,27,5.0
4669,27,2.0
4728,27,2.0
930,27,0.5
4603,27,2.0
47,27,2.0
4566,27,3.5
4534,27,0.5
937,27,5.0
4692,27,5.0
4592,27,3.5
5676,28,5.0
1486,28,0.5
5682,28,5.0
5494,28,3.5
5648,28,5.0
5609,28,5.0
1575,28,5.0
1500,28,5.0
5472,28,2.0
1531,28,5.0
5585,28,3.5
5450,28,5.0
1559,28,5.0
1479,28,5.0
1580,28,2.0
1563,28,5.0
5671,28,5.0
5532,28,0.5
5571,28,2.0
1525,28,5.0
1547,28,2.0
5700,28,2.0
1557,28,3.5
5506,28,0.5
5693,28,5.0
5574,28,5.0
1534,28,5.0
5460,28,0.5
5711,28,5.0
1491,28,2.0
1554,28,0.5
1603,28,3.5
1473,28,5.0
5548,28,0.5
1523,28,0.5
5481,28,2.0
5657,28,5.0
1607,28,5.0
5535,28,2.0
1594,28,0.5
5516,28,5.0
5475,28,5.0
1641,28,5.0
1461,28,3.5
1649,28,2.0
1478,28,2.0
5484,28,5.0
5708,28,5.0
1622,28,0.5
1562,28,5.0
5589,28,2.0
5663,28,5.0
5630,28,5.0
1577,28,0.5
5473,28,0.5
1496,28,5.0
5497,28,5.0
5521,28,2.0
5640,28,2.0
5601,28,2.0
5479,28,5.0
1508,28,3.5
5573,28,5.0
5490,28,3.5
1583,28,2.0
1590,28,5.0
1648,28,0.5
5549,28,5.0
5710,28,0.5
1601,28,0.5
1522,28,2.0
1485,28,2.0
5635,28,5.0
1529,28,2.0
1645,28,5.0
5594,28,0.5
5655,28,5.0
5555,28,5.0
1474,28,5.0
1546,28,0.5
1498,28,5.0
5526,28,0.5
5572,28,3.5
1539,28,5.0
1640,28,0.5
5646,28,0.5
5476,28,5.0
5641,28,5.0
5536,28,5.0
5550,28,2.0
5694,28,2.0
5449,28,2.0
5525,28,5.0
5556,28,0.5
5653,28,2.0
5474,28,5.0
1654,28,3.5
5702,28,2.0
5643,28,0.5
5559,28,2.0
5701,28,5.0
5598,28,5.0
5687,28,5.0
5634,28,5.0
1505,28,5.0
5509,28,3.5
5568,28,2.0
1492,28,5.0
5517,28,5.0
5669,28,3.5
5588,28,5.0
1618,28,0.5
1653,28,3.5
5688,28,0.5
5539,28,5.0
5452,28,5.0
5453,28,3.5
5581,28,2.0
1504,28,3.5
5527,28,3.5
5515,28,2.0
1543,28,5.0
5638,28,2.0
